source_site,location_code,location_name,location_type,faculty_or_area,building,notes
orar.usv.ro,CH 3,Corp CH - CreativeHUB 3,room,,,"ID: 657, Capacitate: 0"
orar.usv.ro,CH1,CreativeHUB 1,room,,CH,"ID: 658, Capacitate: 0"
orar.usv.ro,CH2,CreativeHUB 2,room,,CH,"ID: 659, Capacitate: 0"
orar.usv.ro,CH4,CreativeHUB 4,room,,CH,"ID: 661, Capacitate: 0"
orar.usv.ro,B113 Lab BIA,Bazele Ing Autovehic,room,,B,"ID: 662, Capacitate: 0"
orar.usv.ro,LB4,LB4,laboratory,,,"ID: 666, Capacitate: 0"
orar.usv.ro,Radio USV,corp F - Sala 110 Radio USV,room,,F,"ID: 667, Capacitate: 18"
orar.usv.ro,BookCafe,BookCafe,room,,,"ID: 672, Capacitate: 0"
orar.usv.ro,B103 Lab SRA,B103 Laborator Sist Rob AV,laboratory,,B,"ID: 673, Capacitate: 0"
orar.usv.ro,E116,E116 Director Biblioteca,room,,E,"ID: 674, Capacitate: 0"
orar.usv.ro,B206c Birou CD,B206c Birou CD,room,,B,"ID: 675, Capacitate: 0"
orar.usv.ro,A208,A208 Birou,room,,A,"ID: 676, Capacitate: 0"
orar.usv.ro,C practica,Centru de practică,room,,,"ID: 677, Capacitate: 0"
orar.usv.ro,C401e,C401e,room,,C,"ID: 680, Capacitate: 0"
orar.usv.ro,ED042,Centru Media,room,,E,"ID: 681, Capacitate: 0"
orar.usv.ro,CL1 - Sala II.5,CNI Spiru Haret - Sala II.5,room,,,"ID: 683, Capacitate: 30"
orar.usv.ro,CL2 - Sala II.4,CNI Spiru Haret - Sala II.4,room,,,"ID: 685, Capacitate: 30"
orar.usv.ro,CL3 - Sala II.6,CNI Spiru Haret - Sala II.6,room,,,"ID: 689, Capacitate: 30"
orar.usv.ro,SL (A103),Sala lectura,room,,A,"ID: 690, Capacitate: 90"
orar.usv.ro,SPB (A047),Sala periodice Biblioteca USV,room,,A,"ID: 691, Capacitate: 30"
orar.usv.ro,B313,B313,room,,B,"ID: 692, Capacitate: 30"
orar.usv.ro,C410,C410,room,,C,"ID: 699, Capacitate: 2"
orar.usv.ro,H302,H302,room,,H,"ID: 701, Capacitate: 0"
orar.usv.ro,PB401,PB401,room,,,"ID: 706, Capacitate: 0"
orar.usv.ro,Spital,Sectii clinice SCJSV,room,,,"ID: 709, Capacitate: 0"
orar.usv.ro,D101a,D101a,room,,D,"ID: 710, Capacitate: 25"
orar.usv.ro,J7,J7,room,,J,"ID: 714, Capacitate: 30"
orar.usv.ro,Ambulator SCJU,Ambulator SCJU/Sectii clinice,room,,,"ID: 717, Capacitate: 0"
orar.usv.ro,Rectorat,Rectorat,room,,E,"ID: 724, Capacitate: 0"
orar.usv.ro,Lab BM SCJUSV,Lab biologie moleculara SCJUSV,laboratory,,,"ID: 726, Capacitate: 0"
orar.usv.ro,Clinici,Clinici,room,,,"ID: 727, Capacitate: 0"
orar.usv.ro,Patinoar,Patinoar,sports,,,"ID: 728, Capacitate: 0"
orar.usv.ro,D011a,D011a,room,,D,"ID: 730, Capacitate: 0"
orar.usv.ro,Sala PsihoConsil,Sala de psiho-consiliere,room,,,"ID: 731, Capacitate: 0"
orar.usv.ro,Spital Lab BM,Lab Biologie moleculara Spital,laboratory,,,"ID: 732, Capacitate: 0"
orar.usv.ro,OE,Operator economic,room,,,"ID: 733, Capacitate: 0"
orar.usv.ro,PB403,PB403,room,,PB,"ID: 740, Capacitate: 0"
orar.usv.ro,Sem Nursing I+II,Sală Demonstrație Nursing I+II,room,,,"ID: 741, Capacitate: 0"
orar.usv.ro,A037,A037,room,,,"ID: 742, Capacitate: 0"
orar.usv.ro,H111,H111,room,,H,"ID: 743, Capacitate: 0"
orar.usv.ro,P102,P102 Laborator Informatică,laboratory,,P,"ID: 744, Capacitate: 22"
orar.usv.ro,P103,P103 - Laborator didactic,laboratory,,P,"ID: 745, Capacitate: 35"
orar.usv.ro,P104,P104 - Sală curs 1,room,,P,"ID: 746, Capacitate: 100"
orar.usv.ro,P101,P101 Birou,room,,P,"ID: 747, Capacitate: 0"
orar.usv.ro,P201,P201 Birou,room,,P,"ID: 748, Capacitate: 0"
orar.usv.ro,P202,P202 - Laborator Gamificare,laboratory,,P,"ID: 749, Capacitate: 12"
orar.usv.ro,P203,P203 Centru Educatie Timpurie,room,,P,"ID: 750, Capacitate: 35"
orar.usv.ro,P204,P204 Sala Curs 2,room,,P,"ID: 751, Capacitate: 100"
orar.usv.ro,P301,P301 Birou,room,,P,"ID: 752, Capacitate: 0"
orar.usv.ro,P302,P302 Laborator Neuroștiințe,laboratory,,P,"ID: 753, Capacitate: 22"
orar.usv.ro,P303,P303 Sala seminar,room,,P,"ID: 754, Capacitate: 35"
orar.usv.ro,P304,P304 Sala curs 3,room,,P,"ID: 755, Capacitate: 56"
orar.usv.ro,P305,P305 Lab de psihodiagnostic,laboratory,,P,"ID: 756, Capacitate: 22"
orar.usv.ro,Sala Spital SV,Sala Sedinte Spital SV,room,,,"ID: 757, Capacitate: 0"
orar.usv.ro,A047,A047,room,,A,"ID: 758, Capacitate: 0"
orar.usv.ro,E006,E006,room,,,"ID: 759, Capacitate: 0"
orar.usv.ro,CS Spital,Centru de simulare Spital Onco,room,,,"ID: 760, Capacitate: 0"
