source_site,location_code,location_name,location_type,faculty_or_area,building,notes
orar.usv.ro,Lab TM,Laborator TM,laboratory,,B,"ID: 112, Capacitate: 0"
orar.usv.ro,ED001,ED001,room,,E,"ID: 115, Capacitate: 0"
orar.usv.ro,E209,E209,room,,E,"ID: 116, Capacitate: 0"
orar.usv.ro,Obs.2,Obs2 Lab. Testare Psihologică,laboratory,,Obs.,"ID: 117, Capacitate: 0"
orar.usv.ro,G101,G101,room,,G,"ID: 118, Capacitate: 0"
orar.usv.ro,B101,B101 Nutriție și Metabolism,room,,B,"ID: 120, Capacitate: 0"
orar.usv.ro,B011 Lab DispTeh,B011 Laborator Dispozitive ,laboratory,,B,"ID: 122, Capacitate: 0"
orar.usv.ro,B012 Lab PDPR,B012 Laborator Prelucr def,laboratory,,B,"ID: 123, Capacitate: 0"
orar.usv.ro,B013 Lab TehnFab,B013 Laborator Tehn de Fabr,laboratory,,B,"ID: 124, Capacitate: 0"
orar.usv.ro,B014 Lab CFAC,B014 Laborator Concep Fabr,laboratory,,B,"ID: 125, Capacitate: 0"
orar.usv.ro,B203 Lab SIM,B203 Laborator Stiinta IngMat ,laboratory,,B,"ID: 128, Capacitate: 0"
orar.usv.ro,S. Sport,Sala sport,room,,Sala,"ID: 129, Capacitate: 0"
orar.usv.ro,C003,C003,room,,C,"ID: 130, Capacitate: 21"
orar.usv.ro,Obs.1,Obs. 1 - Sală mare,room,,Obs.,"ID: 132, Capacitate: 0"
orar.usv.ro,B007 Lab MU,B007 Laborator Masini Unelte,laboratory,,B,"ID: 133, Capacitate: 0"
orar.usv.ro,E Amf E129,Amf E129,room,,E,"ID: 135, Capacitate: 0"
orar.usv.ro,E230,E230 - sala curs - 90 locuri,room,,E,"ID: 136, Capacitate: 0"
orar.usv.ro,A114,A114 (A53),room,,A,"ID: 137, Capacitate: 0"
orar.usv.ro,A121,A121 - laborator,laboratory,,A,"ID: 140, Capacitate: 0"
orar.usv.ro,E206,E206,room,,E,"ID: 141, Capacitate: 0"
orar.usv.ro,Sala Club,Sala Club,room,,Camin,"ID: 144, Capacitate: 0"
orar.usv.ro,Sala Areni,Sala Stadion Areni,room,,A,"ID: 147, Capacitate: 0"
orar.usv.ro,E216,E216,room,,E,"ID: 150, Capacitate: 0"
orar.usv.ro,T.S.,Teren  sintetic,sports,,,"ID: 151, Capacitate: 0"
orar.usv.ro,E003,E003,room,,E,"ID: 153, Capacitate: 0"
orar.usv.ro,A120,Lectoratul Francez,room,,A,"ID: 154, Capacitate: 20"
orar.usv.ro,E219,E219,room,,E,"ID: 155, Capacitate: 0"
orar.usv.ro,E005,E005,room,,E,"ID: 156, Capacitate: 31"
orar.usv.ro,B201 Lab GAC+IG,B201 Laborator Infografica,laboratory,,B,"ID: 158, Capacitate: 0"
orar.usv.ro,A20,A20,room,,A,"ID: 159, Capacitate: 0"
orar.usv.ro,K102,K102 Laborator fizioterapie,laboratory,,K,"ID: 160, Capacitate: 0"
orar.usv.ro,D Amf. DL,amf. Dimitrie Leonida,room,,D,"ID: 162, Capacitate: 43"
orar.usv.ro,A108,Laborator Limbi Moderne,laboratory,,A,"ID: 163, Capacitate: 20"
orar.usv.ro,A111,Sala Eugeniu Coşeriu,room,,A,"ID: 164, Capacitate: 60"
orar.usv.ro,A024,A024,room,,A,"ID: 165, Capacitate: 0"
orar.usv.ro,A115,Amfiteatrul Eugen Lovinescu,auditorium,,A,"ID: 167, Capacitate: 110"
orar.usv.ro,A119,Laborator Multimedia ProLang,laboratory,,A,"ID: 168, Capacitate: 20"
orar.usv.ro,A122,Lectoratul Italian,room,,A,"ID: 169, Capacitate: 20"
orar.usv.ro,A203,Lectoratul Spaniol,room,,A,"ID: 170, Capacitate: 0"
orar.usv.ro,A206,Sala Studii Anglo-Americane,room,,A,"ID: 172, Capacitate: 40"
orar.usv.ro,A302,Centrul de Reusita Universitar,room,,A,"ID: 173, Capacitate: 0"
orar.usv.ro,LB2,Laborator Media,laboratory,,,"ID: 174, Capacitate: 20"
orar.usv.ro,LB1,Sală An pregătitor,room,,,"ID: 176, Capacitate: 20"
orar.usv.ro,A204,Lectoratul German,room,,A,"ID: 178, Capacitate: 0"
orar.usv.ro,E120,E120,room,,E,"ID: 182, Capacitate: 0"
orar.usv.ro,PB4,P.Bucovina 4,room,,PB,"ID: 184, Capacitate: 0"
orar.usv.ro,PB11bis,P.Bucovina 11bis,room,,PB,"ID: 185, Capacitate: 0"
orar.usv.ro,E220, E220,room,,E,"ID: 186, Capacitate: 0"
orar.usv.ro,A038,A038,room,,A,"ID: 187, Capacitate: 0"
