location_key,display_name,location_type,building,is_online,is_external,source_reference,notes
pb4,P.Bucovina 4,room,PB,false,false,orar.usv.ro,"ID: 184, Capacitate: 0"
pb11bis,P.Bucovina 11bis,room,PB,false,false,orar.usv.ro,"ID: 185, Capacitate: 0"
e220, E220,room,E,false,false,orar.usv.ro,"ID: 186, Capacitate: 0"
a038,A038,room,A,false,false,orar.usv.ro,"ID: 187, Capacitate: 0"
e201,E201,room,E,false,false,orar.usv.ro,"ID: 192, Capacitate: 0"
e123,E123,room,E,false,false,orar.usv.ro,"ID: 193, Capacitate: 10"
ed024,ED024,room,E,false,false,orar.usv.ro,"ID: 194, Capacitate: 0"
ed016,ED016,room,E,false,false,orar.usv.ro,"ID: 195, Capacitate: 0"
fim1,FIM1,room,B,false,false,orar.usv.ro,"ID: 196, Capacitate: 0"
e101,E101,room,E,false,false,orar.usv.ro,"ID: 197, Capacitate: 31"
ed011,ED011,room,E,false,false,orar.usv.ro,"ID: 200, Capacitate: 0"
e233,E233,room,E,false,false,orar.usv.ro,"ID: 201, Capacitate: 31"
ed028-30,ED028-30,room,E,false,false,orar.usv.ro,"ID: 203, Capacitate: 0"
e224,E 224,room,E,false,false,orar.usv.ro,"ID: 207, Capacitate: 0"
ca_dppd,Casa alba DPPD,laboratory,C.A.,false,false,orar.usv.ro,"ID: 209, Capacitate: 0"
e126,E126,room,E,false,false,orar.usv.ro,"ID: 213, Capacitate: 0"
sala_senat,Sala Senat,room,H,false,false,orar.usv.ro,"ID: 214, Capacitate: 0"
a128,Catedra de Franceza,room,A,false,false,orar.usv.ro,"ID: 215, Capacitate: 0"
a112,A112 - sala DSPP,room,A,false,false,orar.usv.ro,"ID: 216, Capacitate: 0"
e119,E119,room,E,false,false,orar.usv.ro,"ID: 218, Capacitate: 0"
ed015,ED015,room,E,false,false,orar.usv.ro,"ID: 222, Capacitate: 0"
lb3,Sala curs LB3,laboratory,,false,false,orar.usv.ro,"ID: 224, Capacitate: 0"
a033,A033,room,A,false,false,orar.usv.ro,"ID: 225, Capacitate: 16"
d110,D110,room,D,false,false,orar.usv.ro,"ID: 227, Capacitate: 0"
e118,E118,room,E,false,false,orar.usv.ro,"ID: 230, Capacitate: 0"
b004_lab_ch,B004 Laborator Chimie,laboratory,B,false,false,orar.usv.ro,"ID: 233, Capacitate: 0"
k210,K210,room,K,false,false,orar.usv.ro,"ID: 234, Capacitate: 0"
a113,A113(A52),room,A,false,false,orar.usv.ro,"ID: 235, Capacitate: 0"
k107,K 107 - Laborator BFKT,laboratory,K,false,false,orar.usv.ro,"ID: 238, Capacitate: 0"
bazin,Bazin de înot,room,K,false,false,orar.usv.ro,"ID: 239, Capacitate: 0"
